title,address,advertiser,link,terrace,m2,rooms,price
1220 Wien - Genochplatz - ab 1.02.2025 - Gepflegte Neubauwohnung mit Komplettküche,"1220 Wien, 22. Bezirk, Donaustadt, Genochplatz 1",C&P,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/1220-wien-genochplatz-ab-1-02-2025-gepflegte-neubauwohnung-mit-komplettkueche-814791521/,"Balkon, Loggia",38.0,2.0,699.0
Helle 3-Zimmer-Wohnung in zentraler Lage!,"1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus, Sechshauser Gürtel 9",Vivoreal Hausverwaltung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/helle-3-zimmer-wohnung-in-zentraler-lage-841145122/,,83.0,3.0,1131.8
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-917468894/,"Terrasse, Garten",83.0,3.0,1366.67
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1159776950/,"Balkon, Garten",63.0,2.0,938.4
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1692078611/,"Balkon, Garten",103.0,4.0,1518.62
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1338927244/,"Balkon, Garten",83.0,3.0,1283.78
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-2126521707/,"Terrasse, Loggia, Garten",60.0,2.0,1007.48
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1572854250/,"Terrasse, Loggia, Garten",54.0,2.0,952.21
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1228619508/,"Balkon, Loggia, Garten",58.0,2.0,883.15
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-2077886747/,"Terrasse, Garten",63.0,2.0,924.59
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1657689273/,"Terrasse, Loggia, Garten",58.0,2.0,910.77
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1433658066/,"Balkon, Loggia, Garten",60.0,2.0,896.96
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1010184428/,"Terrasse, Loggia, Garten",103.0,4.0,1684.39
Gretls Garten - Miete mit Kaufoption - Erstbezug nahe Badeteich Hirschstetten,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gretls-garten-miete-mit-kaufoption-erstbezug-nahe-badeteich-hirschstetten-1640412109/,"Terrasse, Garten",81.0,3.0,1187.07
MICRO APARTMENTS - HEUTE BESICHTIGEN - FLEXIBEL BEZIEHEN - MODERN WOHNEN BEIM LAAER WALD - GRÜNRUHELAGE - JETZT ANFRAGEN,"1100 Wien, 10. Bezirk, Favoriten, Laaer Wald 1",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/micro-apartments-heute-besichtigen-flexibel-beziehen-modern-wohnen-beim-laaer-wald-gruenruhelage-jetzt-anfragen-817215675/,"Terrasse, Balkon",26.0,1.0,948.55
"Neubauwohnungen zum fairen Preis! - Nahe Donau, Lorettowiese & SCN - in 6min. zum Bahnhof Floridsdorf - inkl. vollmöblierter Küche & Freifläche","1210 Wien, 21. Bezirk, Floridsdorf, Prager Straße 105 109",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/neubauwohnungen-zum-fairen-preis-nahe-donau-lorettowiese-scn-in-6min-zum-bahnhof-floridsdorf-inkl-vollmoeblierter-kueche-freiflaeche-1137476459/,Terrasse,85.0,3.0,1229.0
Tolle Neubauwohnung mit großem Innenhof-Balkon und Abstellraum! Straßenbahn 26 und S-Bahn Jedlersdorf in Gehweite,"1210 Wien, 21. Bezirk, Floridsdorf, Prager Straße 105 109",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/tolle-neubauwohnung-mit-grossem-innenhof-balkon-und-abstellraum-strassenbahn-26-und-s-bahn-jedlersdorf-in-gehweite-1528031266/,"Balkon, Loggia",46.0,2.0,875.0
Traumwohnungen in Top-Lage zu Vermieten!,"1210 Wien, 21. Bezirk, Floridsdorf, Prager Straße 105 109",teamneunzehn-Gruppe,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/traumwohnungen-in-top-lage-zu-vermieten-1507034429/,"Balkon, Loggia",46.0,2.0,875.0
PROVISIONSFREIER MIETKAUF IN GRETL'S GARTEN!,"1220 Wien, 22. Bezirk, Donaustadt, Anni-Haider-Weg 3",KDH Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/provisionsfreier-mietkauf-in-gretls-garten-1299219816/,"Balkon, Garten",76.0,3.0,1131.82
"Besonders geschmackvolle, exquisite Wohnung mit 4 Terrassen und Gartenmitbenutzung","1210 Wien, 21. Bezirk, Floridsdorf",Brezina Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/besonders-geschmackvolle-exquisite-wohnung-mit-4-terrassen-und-gartenmitbenutzung-1697254755/,"Terrasse, Balkon, Garten",172.0,6.0,2499.01
NEUBAUPROJEKT DITTMANNGASSE - Mietwohnungen am Enkplatz - 3-Zimmer-Wohnung mit Balkon,"1110 Wien, 11. Bezirk, Simmering, Dittmanngasse",OPTIN Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/neubauprojekt-dittmanngasse-mietwohnungen-am-enkplatz-3-zimmer-wohnung-mit-balkon-1005713549/,"Terrasse, Balkon, Loggia",68.0,3.0,1199.1
Moderne 2-Zimmerwohnung mit Balkon!,"1210 Wien, 21. Bezirk, Floridsdorf, Prager Straße 109",EHL Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/moderne-2-zimmerwohnung-mit-balkon-1693093114/,Loggia,40.0,2.0,799.0
orea | Wohnen am Wienerberg: Großzügige 3-Zimmer-Wohnung mit Park-Blick | Smart besichtigen · Online anmieten,"1100 Wien, 10. Bezirk, Favoriten, Carl-Appel-Straße",orea GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/orea-wohnen-am-wienerberg-grosszuegige-3-zimmer-wohnung-mit-park-blick-smart-besichtigen-online-anmieten-2012836813/,,88.0,3.0,1499.0
Moderne Kleinwohnung in zentraler Lage - Erstbezug nach Komplettsanierung!,"1140 Wien, 14. Bezirk, Penzing",TRISTAR Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/moderne-kleinwohnung-in-zentraler-lage-erstbezug-nach-komplettsanierung-1167343868/,,27.0,1.0,670.0
Exklusive Wohnung: Erstbezug nach Sanierung - 2 sonnige Terrassen - Nähe Schönbrunn!,"1120 Wien, 12. Bezirk, Meidling",ZAKARYAN & PARTNER,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/exklusive-wohnung-erstbezug-nach-sanierung-2-sonnige-terrassen-naehe-schoenbrunn-1799787635/,Terrasse,77.0,3.0,1399.99
Co-Working Room im ersten Bezirk zur Büronutzung (Bürogemeinschaft),"1010 Wien, 01. Bezirk, Innere Stadt, Schwedenplatz","SM Projektmanagement, Beratung & Schulung EDV- und Unternehmensberatung",willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/co-working-room-im-ersten-bezirk-zur-bueronutzung-buerogemeinschaft-1190653921/,,144.0,4.0,300.0
SONNIGE Neubauwohnung - GROSSE Terrasse - LETZTES Stockwerk (2.OG)!!,"1210 Wien, 21. Bezirk, Floridsdorf",Hubner Immobilien,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/sonnige-neubauwohnung-grosse-terrasse-letztes-stockwerk-2-og-1092354707/,"Terrasse, Dachterrasse",51.0,2.0,949.0
MIETWOHNUNG IN MARGARETEN!,"1050 Wien, 05. Bezirk, Margareten, Schönbrunnerstrasse",Immobilientreuhand Kluger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/mietwohnung-in-margareten-2141880807/,,69.0,2.0,867.55
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 105",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-1045107369/,Loggia,49.0,2.0,949.0
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 113",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-1169410213/,Terrasse,31.0,1.0,849.0
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 112",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-1686108707/,Terrasse,46.0,2.0,1049.0
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 129",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-2010910212/,Terrasse,30.0,1.0,849.0
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 91",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-1895736618/,Loggia,36.0,1.0,799.0
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 114",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-1536081585/,Terrasse,31.0,1.0,849.0
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 127",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-1832300341/,Terrasse,45.0,2.0,1099.0
INRENT14,"1140 Wien, 14. Bezirk, Penzing, Linzer Straße 161 106",wohngut Bauträger GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/inrent14-1947754564/,Loggia,36.0,1.0,799.0
"Votivkirche, Otto Wagner Platz","1090 Wien, 09. Bezirk, Alsergrund",MF Immobilien Consulting GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/votivkirche-otto-wagner-platz-930140745/,"Terrasse, Wintergarten",188.0,4.0,4204.13
"Himberger Straße 28, 1100 Wien - Parkplätze","1100 Wien, 10. Bezirk, Favoriten, Himberger Straße 28",Haring Immobilien Treuhand GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/himberger-strasse-28-1100-wien-parkplaetze-558512209/,,,,
---MÜHLSCHÜTTELGASSE---DG-WOHNUNG MIT 3 TERRASSEN UND BLICK AUF DIE ALTE DONAU---,"1210 Wien, 21. Bezirk, Floridsdorf",BRI Immobilienmakler GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/-muehlschuettelgasse-dg-wohnung-mit-3-terrassen-und-blick-auf-die-alte-donau-1895603336/,Terrasse,90.0,3.0,2816.18
ERSTBEZUG: Aufleben direkt am Wienerwald | exzellente U4 Anbindung,"1130 Wien, 13. Bezirk, Hietzing",Manuel Hacker Realconsult GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/erstbezug-aufleben-direkt-am-wienerwald-exzellente-u4-anbindung-1463757218/,"Balkon, Loggia, Garten",61.0,3.0,1490.0
AM MODENAPARK - LICHTDURCHFLUTETE 7 ZIMMER-WOHNUNG MIT 2 BALKONEN IN STILALTBAU (ERSTBEZUG),"1030 Wien, 03. Bezirk, Landstraße, Am Modenapark",Deutsch Realitäten e.U.,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/am-modenapark-lichtdurchflutete-7-zimmer-wohnung-mit-2-balkonen-in-stilaltbau-erstbezug-1207515524/,Balkon,201.0,7.0,3398.75
MODERNE 1 ZIMMER DG-WOHNUNG MIT BALKON,"1190 Wien, 19. Bezirk, Döbling",WISION HOME GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/moderne-1-zimmer-dg-wohnung-mit-balkon-2044377111/,Balkon,37.0,1.0,645.7
Helle 2-Zimmer-Wohnung in Liesing zu vermieten!,"1230 Wien, 23. Bezirk, Liesing, Bickgasse",Nagy Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/helle-2-zimmer-wohnung-in-liesing-zu-vermieten-897995594/,,48.0,2.0,890.0
Neubauwohnung perfekt für Pärchen geeignet - Nähe Stradbad Alte Donau,"1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße",ESTINA Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/neubauwohnung-perfekt-fuer-paerchen-geeignet-naehe-stradbad-alte-donau-1263967705/,Loggia,49.0,2.0,1350.0
"SCHÖNE ALTBAUMIETE MIT TERRASSE, GRÜNBLICK, RUHELAGE","1060 Wien, 06. Bezirk, Mariahilf",Dr. Alexandra Gabriel Realitätenvermittlungs GesmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/schoene-altbaumiete-mit-terrasse-gruenblick-ruhelage-1463110414/,Terrasse,192.0,5.0,4768.32
NIEDRIGENERGIEHAUS IN AUSGEZEICHNETER LAGE NAHE U3-ENKPLATZ,"1110 Wien, 11. Bezirk, Simmering, Dittmanngasse",DECUS Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/niedrigenergiehaus-in-ausgezeichneter-lage-nahe-u3-enkplatz-1782248156/,"Balkon, Loggia",49.0,2.0,979.51
Geräumige 2-Zimmer Wohnung mit Balkon,"1180 Wien, 18. Bezirk, Währing",NOVEL REAL,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/geraeumige-2-zimmer-wohnung-mit-balkon-1057398982/,"Balkon, Loggia",86.0,2.0,1475.23
"Bestlage im 5. Bezirk, ruhige Straße, nahe Hauptbahnhof, saniert und gepflegte 3-Zi","1050 Wien, 05. Bezirk, Margareten, Gassergasse 34",Blueground Austria GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/bestlage-im-5-bezirk-ruhige-strasse-nahe-hauptbahnhof-saniert-und-gepflegte-3-zi-1884783781/,,76.0,3.0,1330.0
Erstbezug: Hochwertige 2-Zimmer-Wohnung mit Außenfläche im Neubauprojekt SOPHIE - zu mieten in 1090 Wien,"1090 Wien, 09. Bezirk, Alsergrund",ÖRAG Immobilien Vermittlung GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/erstbezug-hochwertige-2-zimmer-wohnung-mit-aussenflaeche-im-neubauprojekt-sophie-zu-mieten-in-1090-wien-1755634916/,"Balkon, Loggia",48.0,2.0,1388.99
| NIEDRIGE ENERGIEKOSTEN | GEMEINSCHAFTSTERRASSE | IDEALE VERKEHRSANBINDUNG | FREIFLAECHEN | NEUBAU |,"1210 Wien, 21. Bezirk, Floridsdorf, Kantnergasse",DECUS Immobilien GmbH,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/-niedrige-energiekosten-gemeinschaftsterrasse-ideale-verkehrsanbindung-freiflaechen-neubau-1619131305/,,,,
Hell und ruhig.,"1070 Wien, 07. Bezirk, Neubau, Seidengasse",Privat,willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/hell-und-ruhig-1845873737/,,53.0,2.0,850.0
